_RAJ2000,_DEJ2000,SDSS,S_N,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E_B-V_,pm
211.9373,51.8758,140750.31+515357.83,17,19.040,0.029,18.581,0.016,18.734,0.014,18.845,0.017,19.060,0.050,0.011,28.500
213.9214,53.7308,141523.73+534300.64,12,20.316,0.051,19.758,0.047,19.849,0.185,19.974,0.682,20.397,0.250,0.010,0.000
216.7062,52.5197,142647.91+523258.11,12,20.132,0.038,19.736,0.020,19.892,0.028,20.134,0.125,20.420,0.191,0.009,13.500
1.1991,-5.2919,000446.38-051833.60,18,19.208,0.027,18.884,0.045,18.742,0.018,18.766,0.018,18.893,0.037,0.041,41.900
359.8838,-3.5959,235932.80-033541.07,34,18.148,0.028,17.860,0.027,18.025,0.025,18.188,0.018,18.408,0.030,0.036,47.900
5.5518,-5.6262,002209.60-053905.01,11,20.540,0.068,19.985,0.032,19.744,0.042,19.708,0.030,19.680,0.079,0.036,5.000
42.5333,-4.6933,025010.97-044256.29,36,17.538,0.028,17.466,0.024,17.777,0.016,18.038,0.018,18.291,0.029,0.040,16.200
41.3308,-5.7545,024519.50-054536.26,22,18.906,0.026,18.818,0.032,19.130,0.021,19.418,0.024,19.805,0.099,0.037,32.700
41.4406,-5.2759,024549.90-051351.30,22,19.114,0.029,18.795,0.023,19.053,0.015,19.253,0.023,19.482,0.063,0.037,26.400
41.0322,-3.5198,024414.80-033151.46,33,18.068,0.036,17.992,0.022,18.279,0.027,18.646,0.021,18.859,0.044,0.028,13.600
40.3546,-6.3178,024120.95-061952.60,18,19.113,0.031,19.226,0.024,19.605,0.021,19.873,0.028,20.145,0.111,0.026,27.800
40.7298,-5.8350,024248.36-054941.68,30,18.048,0.021,18.264,0.030,18.665,0.014,18.976,0.018,19.200,0.078,0.031,6.300
43.8463,-8.6946,025518.15-084343.90,16,19.306,0.028,19.478,0.025,19.838,0.026,20.147,0.044,20.540,0.211,0.055,27.100
151.6214,61.9837,100617.57+615845.87,23,18.750,0.038,18.820,0.020,19.154,0.021,19.499,0.033,19.705,0.091,0.012,26.800
154.1317,65.4295,101625.78+652550.38,11,20.261,0.057,19.707,0.024,19.610,0.022,19.737,0.029,20.059,0.120,0.033,19.500
155.9715,64.7965,102344.10+645028.23,15,19.263,0.026,19.090,0.024,19.409,0.021,19.608,0.029,19.933,0.157,0.009,11.300
152.8150,56.5784,101104.37+563607.08,24,18.148,0.038,18.270,0.023,18.712,0.016,19.034,0.017,19.306,0.054,0.010,20.900
153.1304,58.0765,101245.71+580215.73,31,17.988,0.020,18.185,0.017,18.529,0.020,18.884,0.019,19.196,0.054,0.009,22.400
152.9284,60.1900,101143.53+601108.70,27,18.485,0.016,18.580,0.025,18.980,0.020,19.304,0.026,19.582,0.076,0.009,24.000
158.6671,58.6025,103504.26+583602.51,13,20.465,0.058,20.069,0.020,20.141,0.031,20.153,0.043,20.206,0.157,0.007,4.200
158.9699,58.8018,103608.26+584845.16,18,18.957,0.021,18.797,0.029,19.128,0.019,19.424,0.029,19.688,0.098,0.007,6.900
156.7134,62.2111,102632.82+621313.52,27,18.836,0.025,18.576,0.020,18.885,0.019,19.165,0.024,19.480,0.081,0.007,2.600
158.4604,61.7896,103326.58+614816.79,24,18.602,0.021,18.522,0.020,18.916,0.018,19.195,0.019,19.406,0.060,0.008,13.800
179.3557,57.8935,115725.44+575548.06,12,20.040,0.060,19.640,0.020,19.410,0.020,19.880,0.030,19.310,0.070,0.026,0.000
162.4730,57.7272,104934.68+574341.34,17,19.770,0.030,19.244,0.018,19.168,0.017,19.220,0.017,19.379,0.058,0.009,53.500
162.9638,57.5701,105147.93+573647.99,35,18.241,0.019,18.140,0.016,18.538,0.017,18.812,0.016,19.143,0.048,0.008,19.900
161.2423,59.5543,104455.07+593356.67,11,20.752,0.068,20.285,0.025,20.433,0.032,20.550,0.053,20.268,0.167,0.009,19.000
158.8572,60.9347,103510.47+605546.06,24,18.393,0.024,18.430,0.021,18.827,0.018,19.175,0.022,19.476,0.075,0.007,16.900
161.2773,61.9091,104457.66+615708.22,11,20.279,0.048,19.791,0.020,19.874,0.028,20.002,0.039,19.953,0.108,0.008,27.900
179.5339,59.9831,115804.65+595902.13,23,18.882,0.027,18.700,0.017,19.121,0.020,19.286,0.021,19.575,0.068,0.013,10.500
172.9094,57.6422,113118.07+573937.39,30,18.119,0.015,17.911,0.016,18.225,0.028,18.439,0.026,18.671,0.036,0.014,7.900
172.6414,58.2664,113026.23+581707.08,17,19.137,0.022,19.026,0.022,19.391,0.026,19.691,0.027,19.889,0.085,0.014,15.300
171.3905,57.0755,112531.09+570406.11,38,17.999,0.024,17.769,0.025,18.041,0.021,18.326,0.027,18.660,0.049,0.014,131.600
168.8240,56.6079,111521.91+563404.52,30,18.055,0.021,17.935,0.028,18.235,0.023,18.549,0.018,18.780,0.042,0.011,23.000
168.5484,57.1354,111410.95+571004.18,31,18.075,0.015,18.145,0.043,18.497,0.019,18.735,0.024,19.004,0.049,0.011,15.600
172.9658,57.9007,113149.38+575436.00,14,19.283,0.028,19.044,0.026,19.287,0.021,19.531,0.026,19.875,0.087,0.014,22.600
165.2855,56.8588,110111.38+564922.24,29,17.998,0.019,17.942,0.017,18.290,0.016,18.585,0.015,18.845,0.042,0.009,25.800
166.3255,59.0281,110514.13+590448.86,19,18.966,0.019,18.746,0.018,19.068,0.017,19.304,0.024,19.669,0.069,0.008,62.100
163.6250,61.3231,105442.85+611925.82,27,18.195,0.036,18.426,0.020,18.897,0.025,19.207,0.024,19.737,0.114,0.014,4.300
165.3031,60.7112,110118.50+604013.92,51,16.817,0.016,16.668,0.016,17.030,0.015,17.282,0.020,17.558,0.023,0.007,29.500
164.3881,64.0432,105725.64+640352.10,26,18.506,0.017,18.331,0.019,18.646,0.013,18.906,0.016,19.252,0.058,0.021,55.400
170.7875,60.5213,112322.47+602940.06,20,19.161,0.026,18.904,0.022,19.108,0.017,19.272,0.020,19.507,0.060,0.013,51.900
170.7608,62.0730,112254.17+620606.32,38,18.029,0.020,18.199,0.024,18.681,0.012,19.028,0.020,19.363,0.069,0.006,66.500
168.0224,63.0251,111205.50+630148.49,36,18.380,0.033,18.423,0.039,18.774,0.024,19.138,0.022,19.502,0.074,0.009,19.100
166.2716,64.0653,110447.94+640426.04,14,19.136,0.027,19.281,0.029,19.744,0.097,20.136,0.040,20.539,0.175,0.012,31.000
167.7795,65.5259,111129.23+652932.45,14,18.982,0.021,19.052,0.022,19.481,0.025,19.867,0.031,19.958,0.104,0.017,15.410
166.9570,65.7764,110757.09+654756.32,20,19.082,0.024,18.808,0.025,19.088,0.017,19.348,0.023,19.566,0.093,0.013,76.900
164.2154,66.5691,105646.26+663241.95,26,18.293,0.021,18.126,0.020,18.509,0.016,18.778,0.021,19.111,0.055,0.016,6.300
165.1579,66.9843,110036.93+665949.42,21,18.370,0.020,18.466,0.016,18.773,0.021,19.093,0.020,19.370,0.078,0.020,33.600
180.1675,64.3453,120040.98+641820.78,55,17.577,0.021,17.344,0.013,17.684,0.011,17.924,0.014,18.234,0.031,0.013,37.800
176.2112,63.9932,114458.17+635705.53,32,18.722,0.018,18.571,0.015,18.911,0.013,19.199,0.021,19.512,0.069,0.029,28.100
174.2467,62.4472,113719.02+622602.07,28,18.573,0.026,18.442,0.016,18.780,0.016,19.039,0.018,19.231,0.069,0.012,30.900
171.6695,63.2768,112658.83+631650.85,23,18.440,0.022,18.653,0.015,19.109,0.027,19.468,0.066,19.790,0.094,0.008,16.600
176.3923,66.5339,114529.66+663138.12,18,19.210,0.025,18.917,0.016,19.174,0.019,19.453,0.025,19.814,0.100,0.011,23.000
201.8728,59.0199,132724.67+590402.98,14,18.788,0.022,19.077,0.013,19.538,0.018,19.918,0.027,20.063,0.105,0.012,17.600
200.5675,58.9811,132208.23+590104.58,15,19.283,0.026,19.166,0.018,19.465,0.017,19.806,0.027,20.240,0.119,0.008,9.400
200.4075,59.1023,132150.94+590741.60,19,18.983,0.026,18.756,0.022,19.062,0.015,19.409,0.025,19.645,0.073,0.008,7.500
